"estimate","std.error","2.5%","97.5%","lag","match_size","lead","time"
-0.0201750599520384,0.0245708488061161,-0.0662372269417476,0.0272067759141142,5,1,1,"t+0"
-0.00334292565947242,0.0228277923220617,-0.0457773113742097,0.0443300381668518,5,1,1,"t+1"
0.0217338129496403,0.0268725696393466,-0.0252238699626091,0.0772015830230826,5,1,3,"t+0"
0.0250791366906475,0.0332848515268318,-0.0371465531561462,0.0977756585594688,5,1,3,"t+1"
0.0555323741007194,0.0349152771585364,-0.00833896114341199,0.13299230636833,5,1,3,"t+2"
0.032589928057554,0.0468497056355636,-0.0570021317011397,0.127321075639488,5,1,3,"t+3"
-0.0180983213429257,0.0280529472556668,-0.073440623354397,0.0338154609617415,5,1,5,"t+0"
-0.000534772182254197,0.0295241667531751,-0.0548507245506104,0.0600124805432671,5,1,5,"t+1"
0.00689928057553957,0.0379579454842065,-0.0677279717136731,0.0809012636582638,5,1,5,"t+2"
0.0242637889688249,0.0353427602218979,-0.0435384002099855,0.0964455030419074,5,1,5,"t+3"
0.00798561151079136,0.0351397850995641,-0.0570539730990669,0.0783964562564302,5,1,5,"t+4"
-0.0155635491606715,0.0415546085081486,-0.0942024404637262,0.0648826568790838,5,1,5,"t+5"
-0.0200599520383693,0.0257440145196606,-0.0703330684104628,0.0290615035618431,5,1,7,"t+0"
0.0107697841726619,0.0273693383287052,-0.038535889048141,0.0691781033009294,5,1,7,"t+1"
0.0197242206235012,0.0297203520248766,-0.0334695617309026,0.0807655858206447,5,1,7,"t+2"
0.0209640287769784,0.0342887992124648,-0.0431325108427503,0.092466195805051,5,1,7,"t+3"
0.033410071942446,0.0346233585517581,-0.027737335408616,0.103333879124821,5,1,7,"t+4"
0.0229880095923261,0.0387269403600362,-0.048801365880481,0.101961589819645,5,1,7,"t+5"
0.00315107913669065,0.0397589451803784,-0.0692852925531915,0.0830679102982947,5,1,7,"t+6"
0.0142877697841727,0.0372173537541568,-0.0536959364731654,0.086150048896909,5,1,7,"t+7"
-0.00417985611510791,0.0217903013123154,-0.0439517716424631,0.0401538049762155,5,1,9,"t+0"
-0.00519904076738609,0.0277105742565778,-0.0586819747206448,0.0521205886418934,5,1,9,"t+1"
0.00592326139088729,0.0286514441140504,-0.0515087746305418,0.0649731326034063,5,1,9,"t+2"
-0.0165323741007194,0.0361072785913267,-0.0846195748879133,0.0600612330243854,5,1,9,"t+3"
0.00239568345323741,0.0322095429706046,-0.0566391811970219,0.0672767495603821,5,1,9,"t+4"
-0.0355059952038369,0.03470807012533,-0.101650111265572,0.0317957230691788,5,1,9,"t+5"
-0.0309352517985611,0.0345535714989988,-0.093502398769359,0.0373115175220789,5,1,9,"t+6"
-0.0278033573141487,0.0327703804709528,-0.0885153430185634,0.0364518783552256,5,1,9,"t+7"
-0.031484412470024,0.0336262446884247,-0.101392418781557,0.0354949017195285,5,1,9,"t+8"
-0.0264340527577938,0.0352114788679968,-0.0918441115180601,0.0447113571428571,5,1,9,"t+9"
